PERMANENT_NAME,DISPLAY_NAME,MAIN_PIC_ID,CITY,STATE,COUNTRY_CODE,MEMBER_SINCE,PERSONAL_URL,OCCUPATION,LOAN_BECAUSE,OTHER_INFO,LOAN_PURCHASE_NUM,INVITED_BY,NUM_INVITED
margaret6334,margaret,,,,,1587820911,,,,,1,,0
gunnar3000,Gunnar,,,,,1587824797,,,,,1,,0
john12901234,John,,,,,1587824287,,,,,1,,0
cheryl2686,Cheryl,,,,,1587823876,,,,,1,,0
sarah52369379,Sarah,,,,,1587874626,,,,,1,,0
sam3526,Sam,,,,,1587603575,,,,,1,,0
ccrnbu1505,C,,,,,1587524056,,,,,1,,0
cherise3717,Cherise,,,,,1587774401,,,,,1,,0
joyce5563,Joyce,,,,,1587480045,,,,,1,,0
abdimajid1728,abdimajid,,,,,1587747000,,,,,1,,0
emer4146,Emer,,,,,1587748237,,,,,1,,0
mercedez9693,Mercedez,,,,,1587774503,,,,,2,,0
erika2883,Erika,,,,,1587780373,,,,,1,,0
jen1153,Jen,,,,,1587823354,,,,,1,,0
david19623593,David,,,,,1587601382,,,,,1,,0
kian1463,Kian,,,,,1587651189,,,,,1,,0
jjd,John,3502175,,,,1587678311,,,,,1,,0
mark55018298,Mark,,,,,1587673158,,,,,3,,0
estefanie1545,Estefanie,,,,,1587747927,,,,,1,,0
reggie9501,Reggie,,,,,1587769174,,,,,1,,0
karen5254,Karen,,,,,1587824078,,,,,1,,0
connor38792073,Connor,,,,,1587823978,,,,,3,,0
michelle76113202,Michelle,,,,,1587506214,,,,,1,,0
james4967,James,,,,,1587595979,,,,,1,,0
maza3803,Maza,,,,,1587678468,,,,,1,,0
angelica1143,Angelica,,,,,1587678892,,,,,1,,0
theo9465,Theo,,,,,1587770587,,,,,1,,0
brandon6531,Brandon,,,,,1587772845,,,,,1,,0
leeds1331,Leeds,,,,,1587849447,,,,,2,,0
craig7492,Craig,,,,,1587525616,,,,,1,,0
sibygeor1272815,sibygeor127,,,,,1587600975,,,,,1,,0
katherine9821,Katherine,,,,,1587651589,,,,,2,Jean,0
susan21753608,Susan,,,,,1587658927,,,,,1,,0
jasmine8431,Jasmine,,,,,1587673135,,,,,1,,0
kimberly8194,Kimberly,,,,,1587747438,,,,,1,Christa,0
erica45605594,Erica,,,,,1587820384,,,,,1,,0
samps4989,S&amp;S,,,,,1587506022,,,,,1,,0
heather57314218,Heather,,,,,1587658887,,,,,1,,0
rachael1487,Rachael,,,,,1587674481,,,,,1,,0
jared33893939,Jared,,,,,1587921262,,,,,1,,0
brooklyn4596,Brooklyn,,,,,1588134698,,,,,1,,0
vickie37649534,Vickie,,,,,1588189260,,,,,1,,0
mike71354262,Mike,,,,,1588265720,,,,,1,,0
natasha3397,Natasha,,,,,1588277897,,,,,1,,0
dan43134114,Dan,,,,,1588540097,,,,,1,,0
claudia8992,Claudia,,,,,1588549668,,,,,1,,0
junyan8739,Junyan,,,,,1588644481,,,,,2,,0
yvonne8953,Yvonne,,,,,1588790785,,,,,1,,0
gina7807,Gina,,,,,1588917848,,,,,1,,0
mark32524033,Mark,,,,,1588926345,,,,,1,,0
bob5055,Bob,,,,,1588949548,,,,,1,,0
kaushikkumar6397,Kaushik Kumar,,,,,1589045756,,,,,1,,0
april1041,April,3580345,Nashville,TN,US,1589051687,,,,,2,,0
tyler3957,Tyler,,,,,1589069743,,,,,1,,0
michael37896622,Michael,,,,,1589069121,,,,,1,,0
3wwr4155,3,,,,,1589088679,,,,,1,,0
michelle38357156,Michelle,,,,,1588889277,,,,,1,,0
robin9436,Robin,,,,,1587909917,,,,,5,,0
tessa3307,Tessa,,,,,1587920894,,,,,1,,0
kate6753,Kate,,,,,1588123826,,,,,1,,0
goganbelilmawen3v9121,goganbelilmawen3v,,,,,1588189316,,,,,1,,0
sawinder3349,Sawinder,,,,,1588269493,,,,,1,,0
paul37901587,Paul,,,,,1588277731,,,,,1,,0
rebecca5019,Rebecca,,,,,1588275186,,,,,1,,0
rachel20251415,Rachel,,,,,1588539761,,,,,1,,0
donald4844,Donald,,,,,1588619827,,,,,1,,0
mary27207062,Mary,,,,,1588644395,,,,,1,,0
ed5511,Ed,3543904,Sydney,NSW,AU,1588653328,,,,,1,,0
hope4393,Hope,,,,,1588728423,,,,,1,,0
lisa7053,Lisa,,,,,1588729018,,,,,1,Cliff,0
jessica26772424,Jessica,,,,,1588795934,,,,,1,,0
karen49945215,Karen,,,,,1588948927,,,,,1,,0
michele4626,Michele,,,,,1589092768,,,,,1,,0
chloe1121,Chloe,,,,,1589124817,,,,,1,,0
denise3895,Denise,,,,,1588863585,,,,,1,,0
ranjit4891,Ranjit,,,,,1588733013,,,,,1,,0
danita9405,DANITA,,,,,1588721882,,,,,1,,0
crystal9408,Crystal,,,,,1588719317,,,,,1,,0
jennifer94577356,Jennifer,,,,,1588697105,,,,,1,Laura,0
amanda52336184,Amanda,,,,,1587759789,,,,,1,,0
jordan5601,Jordan,,,,,1587759919,,,,,1,,0
nicole64338595,Nicole,,,,,1588123726,,,,,1,,1
julie83442161,Julie,,,,,1588188420,,,,,1,,0
egerprurt24v28983,egerprurt24v2,,,,,1588189137,,,,,1,,0
felix7564,Felix,,,,,1588237288,,,,,1,,0
tina78504409,Tina,,,,,1588565484,,,,,1,,0
courtney9897,Courtney,,,,,1588549294,,,,,1,,0
francis78867324,francis,,,,,1588653194,,,,,1,,0
scott73661925,Scott,3557055,Austin,Tx,US,1588788951,,Self,"To those that much is given, much is required",,1,,0
geniastevens,Genia Stevens,3556780,,,,1588790586,,,,,1,,0
ashraf3636,Ashraf,,,,,1588949714,,,,,1,,0
edesther6246,Edesther,,,,,1588971838,,,,,1,,0
jonatan6364,Jonatan,,,,,1589040838,,,,,1,,0
jake9802,Jake,3579324,,,,1589040842,,,,,1,,0
sydney1185,Sydney,,,,,1589051510,,,,,1,,0
dayana3656,Dayana,,,,,1589069370,,,,,2,,0
roland5233,Roland,,,,,1588981115,,,,,1,,0
karen1561,Karen,,,,,1588865500,,,,,1,,0
betsy9809,Betsy,,,,,1588819991,,,,,1,,0
paola2104,Paola,,,,,1588712166,,,,,1,Miguel,0
colleen3364,Colleen,,,,,1588091450,,,,,1,,0
caroline8900,Caroline,,,,,1588134762,,,,,1,,0
natalie9071,Natalie,,,,,1588277647,,,,,2,,0
kelley5222,kelley,,Oakland,CA,,1588253185,,,,,2,,0
elan1544,Elan,,,,,1588283833,,,,,1,,0
gerald2414,Gerald,,,,,1588458670,,,,,1,,0
katriona8461,Katriona,,,,,1588643883,,,,,1,,0
kimberly32805536,kimberly,,,,,1588652854,,,,,1,Christian,0
phil6829,Phil,,,,,1588767871,,,,,1,,0
mike94389903,Mike,,,,,1588788785,,,,,1,,0
samantha62668206,Samantha,,,,,1588791298,,,,,1,,0
ruth19811689,Ruth,,,,,1588959983,,,,,2,,0
margarita6326,Margarita,,,,,1589041119,,,,,1,,0
jolana3623,Jolana,,,,,1589049951,,,,,1,,0
joanne7722,Joanne,,,,,1588982247,,,,,1,,0
elizabeth61786711,Elizabeth,,,,,1588982125,,,,,1,,0
kirtisha7116,Kirtisha,,,,,1588865596,,,,,1,,0
nadine26142184,Nadine,,,,,1588820131,,,,,3,,0
amee5945,Amee,,,,,1588724686,,,,,1,,0
paddy7597,Paddy,,,,,1588688179,,,,,1,,0
leo8821,Leo,,,,,1587759903,,,,,1,,0
jerusha1798,JERUSHA,,,,,1587910885,,,,,1,,0
cassandra4995,cassandra,,,,,1588260256,,,,,2,,0
matthew4908,Matthew,,,,,1588258708,,,,,1,,0
emma55518515,Emma,,,,,1588265497,,,,,1,,0
kevin1871,Kevin,,,,,1588274876,,,,,1,,0
olivia5331,Olivia,,,,,1588275730,,,,,1,,0
alexia8293,alexia,,,,,1588296935,,,,,1,,0
lisa48428106,Lisa,,,,,1588458734,,,,,1,Jay,0
richard82303720,Richard,,,,,1588458475,,,,,1,,0
daniel83236849,Daniel,,,,,1588620875,,,,,1,,0
mindy6367,Mindy,,,,,1588643788,,,,,1,,0
kevin51634366,Kevin,,,,,1588789359,,,,,1,,0
tyler7805,Tyler,,,,,1588789209,,,,,1,,0
elizabeth57894683,Elizabeth,,,,,1589068944,,,,,1,,0
donna75328712,Donna,,,,,1589134391,,,,,1,,0
stacey9258,Stacey,,,,,1589001906,,,,,1,,0
christina24647565,christina,,,,,1588981618,,,,,1,,0
katrina8318,Katrina,,,,,1588950872,,,,,1,,0
philipp9926,Philipp,,,,,1588765630,,,,,4,,0
shannon9903,Shannon,,,,,1588378413,,,,,1,,0
rob20641699,Rob,,,,,1587958676,,,,,1,,1
diana38846330,Diana,,,,,1588091529,,,,,1,,0
ahmedq,Ahmed Al-Quwaitai,3518598,Al suwaiq,,OM,1588066817,,,,,1,,0
carmen2028,Carmen,,,,,1588134810,,,,,1,,0
daniela3870,Daniela,,,,,1588189305,,,,,1,,0
ruth8339,Ruth,,,,,1588252225,,,,,1,,0
julie58159244,Julie,,,,,1588267810,,,,,1,,0
phillip1277,Phillip,,,,,1588276103,,,,,1,,0
charles91482273,Charles,,,,,1588275558,,,,,1,,0
linda50565348,Linda,,,,,1588458974,,,,,1,,0
betty8672,BETTY,,,,,1588540197,,,,,2,,0
tonya6601,Tonya,,,,,1588539761,,,,,2,,0
jonathan29799138,Jonathan,,,,,1588549569,,,,,2,,0
james40995878,James,,,,,1588664191,,,,,1,,0
joel5653,Joel,,,,,1588787841,,,,,1,,0
brian46824718,Brian,,,,,1588791344,,,,,1,,0
sara24429559,Sara,,,,,1588790027,,,,,1,,0
kyle7871,Kyle,,,,,1588795961,,,,,1,,0
joellyn7856,Joellyn,,,,,1588949246,,,,,1,,0
timothy6250,Timothy,,,,,1588971603,,,,,2,,0
becky30119658,Becky,,,,,1588970995,,,,,1,,0
swaminath5165,Swaminath,,,,,1589045784,,,,,1,,0
